STATE,CA,COND,K,MG,Sodium,ANC,CL,CO3,COLOR,DOC,HCO3,NH4,NO3,NTL,PTL,SIO2,SO4,TSS,TURB,AG_TOT,ASPCTDEG,ELEVMEAN,FOR_TOT,KM_SEA,POPDENKM,PRECIP_M,RD_DEN,RNG_TOT,SLOPMEAN,WSAREA,W1_HALL,LAT_DD,LON_DD
OR,272.7,76.58,28,199.7,262.9,604,103.8,31.82,5,1.32,501.979,0.6,0,188,27,21.28,38.9,0.3,0.645,5.25,290,704.8,84.47,15,8.298,1.287,13.3,7.56,17.44,10455.3247,4.280431818,43.656,123.72822
OR,362.5,86.47,37.8,244.1,227.5,765.8,62.3,13.002,5,1.32,744.693,0.9,10.7,331,80,28.06,32.5,5,1.57,6.98,258,932.6,80.41,32,19.924,1.058,14.74,9.67,15.45,10097.4333,0.704563636,42.65605,124.00408
OR,110,28.33,17.8,64.3,92.2,302.3,3.9,0.926,5,0.64,278.311,0.4,0,55,5,12.91,3.5,0.1,0.161,0.03,55,2034.1,67.56,192,0,1.359,5.21,14.08,11.08,21.6021,0.378804545,44.1384,121.59992
OR,504.6,97.96,39.5,305.2,196.9,988.6,11,5.463,10,0.67,966.989,0.4,3.6,66,19,40.02,7.7,3.2,0.35,0,113,2047.3,80.5,296,0.172,0.837,16.58,11.2,9.97,5.8044,1.511133333,42.2377,120.57559
OR,2324.3,354.1,44.3,989.1,716.8,4206.7,63.7,57.742,10,2.91,3543.862,1.2,0,259,58,27.26,34.1,5.3,3.2,0,271,1250.2,80.11,311,0.08,0.516,18.59,19.47,11.2,62.6297,5.894036364,45.09665,119.60892
OR,497.6,85.2,39.7,271.7,169.9,819.2,11,5.323,10,1.59,801.989,0.6,3.6,115,16,35.63,9,0.5,1,0,193,1375.1,86.69,347,0.057,0.648,29.15,13.37,4.94,17.4059,0.3788,45.02468,119.1499
OR,1565,283.6,43.9,1044.7,345.8,3265,3.9,52.767,5,2.22,3092.714,0.5,3.6,140,72,43.92,24.6,2,0.409,0,15,1583,88.94,395,0,0.567,0,10.79,12.48,2.2524,0.863654545,44.65353,118.72859
OR,3425.2,377.7,16.4,568.9,190.4,4205.3,4.5,51.209,0,0.95,3608.482,0.3,0,45,3,20.56,217.4,0.3,0.134,0,286,1658.9,88.63,379,0.089,0.565,10.5,11.31,16.74,11.1958,0.431836364,44.30712,119.17495
OR,239.9,44.79,19.8,98.6,129.6,394.8,19.5,1.287,10,0.78,378.095,0.5,0,66,7,20.17,15.6,0.1,0.145,0,154,1259.3,86.99,162,0,1.43,6.89,7.64,17.81,10.2187,0.939440909,45.24921,121.65964
OR,1217.4,267.8,59.2,1252.5,278.9,2716.8,3.9,48.378,5,2.19,2469.589,0.6,1.4,95,29,30.63,275,3.7,0.776,0,250,1429.4,92.81,387,0,0.554,21.85,7.25,12.6,16.289,1.962331349,44.71049,118.80126
