AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
4.36,827.7,124,32.2,90.26,1.31,1421.6,69.69,34,39.31109,121.63905,150.2,0.4,1.4,128.125,8.1,9.233,1.136,14.47,13.71,21.93,13.3,12.6,50.8,CA,4.84,2.7,0.71,2.484872727,10476.5992
0,466.7,122,6.8,47.09,0.46,1804.7,97.17,25,40.67583,121.72809,106.1,0.5,6.4,97.5,7.13,0,1.52,0.6225,13.94,2.82,17.31,9.92,2.1,CA,0.64,0.161,0,0.136363636,16.6175
0.01,406.7,221,4.2,42.59,1.1,2320.1,69.16,314,41.27321,120.27211,92.1,0.4,1.4,145,7.53,0.784,0.78,3,4.4,28.77,29.23,13.56,8.1,CA,4.4,0.58,0.05,0,44.6656
0,233.5,242,4.5,25.04,1.61,2503.6,58.4,230,36.64842,118.80009,120.3,0.4,0,79,7.32,0.071,0.973,3,0,38.52,14.53,16.24,7.1,CA,0.6,0.433,0,0,14.1278
0,840.2,155,5.1,81.31,0.93,2624,73.69,153,38.42014,119.75015,147.4,0.5,0.7,54,7.96,0,1.424,19,0,25.56,23.84,19.69,9.2,CA,1.1,0.258,0,0.151522727,20.5436
0,145,357,6.5,18.22,1.34,2618.6,61.12,145,38.49441,119.89197,67.6,1.2,1.4,254,6.14,0,1.45,10,0,31.04,10.14,20.72,6.9,CA,9.6,0.498,0,0.6667,2.3045
0.23,191.8,171,6.2,20.22,0.92,1711.2,79.51,217,36.54726,118.89773,78.1,0.5,2.1,76,7.48,0.259,0.948,2,5.82,19.51,10.07,18.76,6.5,CA,1.3,0.39,0,0,231.4431
0.05,2094.9,261,31,214.4,0.67,2498.1,85.5,216,36.34993,118.74987,199.4,0.6,18.6,298,7.99,0.013,0.869,10,0,11.49,20.87,16.94,142.6,CA,0.6,0.211,0,0,74.3728
0,122.8,262,4.8,14.56,0.86,2761.9,37.04,163,37.85323,119.57374,33,0.4,2.9,139,6.75,0,1.287,4,0,48.98,4.67,17.12,2.1,CA,2.5,6.15,0,0,36.1133
0,80.8,330,3.1,19.93,0.65,3344.7,20.59,190,37.8781,119.25106,35.1,0.4,1.4,69,7.25,0,1.094,1,0.03,66.38,5.24,16.97,84.9,CA,0.1,0.226,0,0,24.8994
0,895.9,338,4.5,122.9,0.51,3332.8,10.43,229,37.55053,118.87193,45,0.5,5,119,8.16,0.845,1.072,13,0,72.02,7.67,24.85,237.6,CA,2,0.226,0,0,14.2042
0,2717.7,110,18.9,262.5,0.61,3482.6,7.86,289,37.55485,118.17052,84,0.4,11.4,193,8.27,0.308,0.478,4,3.43,83.25,10.46,13.57,97.6,CA,1.2,0.164,0,0.3485,25.97
0,265,78,7.1,52.86,0.46,3032.9,12.49,288,37.01111,118.32869,112.7,0.3,6.4,144,7.58,0.159,0.753,3,0,68.28,9.28,29.42,186.5,CA,3,0.467,0,0.5,18.8341
0,304.6,36,9.3,47.95,0.68,3243.7,12.87,274,36.71855,118.26585,60.1,0.3,11.4,195,7.74,0.121,0.681,1,0.06,54.78,5.16,33.94,109.1,CA,1.8,3.99,0.01,0,33.169
0.09,2951.1,198,71.9,319.3,1.25,1483.8,45.83,60,34.26829,117.8911,458.5,0.4,7.1,151,8.45,0.015,0.857,4,1.76,53.64,19.82,31.54,402.5,CA,0.7,0.148,0.08,0,64.9541
0.01,1591.2,259,152.9,183.1,0.84,811.4,74.48,6,36.32582,121.78891,400.2,0.4,1.4,46,7.92,0.055,0.907,3,0.05,25.26,25.92,27.27,204.9,CA,0,0.144,0,0,36.2005
0.44,1358.4,315,55,159.2,1.1,958.2,61.89,37,39.95967,123.43628,171.7,0.2,0,45,8.21,2.964,1.444,7,9.59,36.74,8.9,17.74,214.4,CA,0.5,0.953,0.14,1.310668182,4953.7157
0,856.1,136,29.3,88.2,0.52,1675.5,60.41,98,40.86244,122.90169,79.9,0.4,2.1,39,7.72,0.053,1.595,1,0.32,32.72,11.54,27.21,58.1,CA,0.1,0.08,0.01,0.151522727,152.3659
0,249.2,225,7.9,24.42,1.27,2451.5,59.38,229,37.04447,119.1104,96.7,0.8,0,71,7.6,0,1.002,3,5.72,39.96,14.17,13.94,3.7,CA,0.4,0.2,0,0,29.1282
0.04,3887.2,119,206.2,1159,1.81,1105.7,32.59,51,34.54172,118.77286,2139,0.1,0,91,8.26,0.128,0.509,13,0,65.86,22.52,26.52,9279.5,CA,0.2,0.186,0,0,86.0936
0,4213.5,91,10928.4,1623,0.88,1250.2,67.69,106,40.03521,122.61094,7793.5,0.4,34.7,579,8.51,0,1.218,2,12.76,31.89,10.04,22.3,140.7,CA,0.2,0.229,0,0.090909091,62.4868
0,495.7,151,9.9,83.08,0.49,990.9,81.5,133,40.85692,122.48881,146.2,0.4,5,70,7.77,0.413,2.149,30,1.67,17.14,16.64,23.44,275,CA,0.1,0.128,0,0,19.3754
0,2505.6,253,59.5,239,0.97,446.3,30.76,156,40.10753,122.02992,536.3,0.6,7.9,203,8.03,0,0.877,23,14.23,69.26,61,10.92,52.9,CA,0.1,0.156,0,0,68.2812
0,3668.1,176,318.7,403.5,1.93,1705.6,14.44,56,34.34716,118.04869,1131.3,0.6,2.1,104,8.18,0,0.762,32,6.36,79.95,39.66,23.9,288.6,CA,0.2,0.18,0,0.651540909,10.606
0,5095.2,159,3.9,407.4,1.55,1311.6,76.52,78,40.25425,123.1078,245.9,0.6,0,135,8.75,0,1.396,8,30.78,22,29.08,15.19,136.2,CA,0.1,0.4,0,0,33.8794
0,2250.5,98,3.9,203.2,1.25,1572.5,86.97,78,41.70845,123.13085,134.9,0.4,2.9,70,8.3,0.235,1.415,14,9.06,13.21,24.29,25.96,102.6,CA,0.1,0.129,0,0,4.2639
0,3010.2,286,40.3,298.5,0.63,971.5,96.44,56,40.84723,123.39963,208.1,0.3,7.9,174,8.29,0,1.347,21,20.07,3.59,25.2,26.03,217.8,CA,3.5,0.322,0,0,9.4599
7.64,1268.8,241,108.3,147,2.67,1393.5,61.33,41,41.2912,123.56865,412.5,0.8,0,344,8.58,2.898,0.749,58,11.71,24.87,19.33,9.8,97,CA,1,0.794,0.29,2.356136364,31016.9236
1.68,1244.1,270,1568,416.6,4.2,1310.3,78.02,60,38.67552,121.44613,2047,2.6,332.7,5113,7.79,33.847,1.278,1536,18.44,15.1,17.18,14.38,532.4,CA,4.7,2.06,2.32,2.734945455,5883.627007
64.07,5892.5,201,5129.5,4105,4.7,100,1.73,6,34.16522,119.09069,9016.9,5.1,3438.3,48219,7.94,301.602,0.388,41,28.63,18.63,36.47,4.86,39109.7,CA,4.2,1.15,12.24,1.545481818,119.2618
0.25,567.3,229,98.4,71.97,4,2099.5,64.16,87,33.79824,116.74831,391.6,0.6,0,145,7.44,0,0.759,23,9.61,35.52,32.28,20.46,17.7,CA,2.5,0.256,0,1.053031818,11.0335
0,2292.2,117,151.5,248.5,1.35,1210.6,51.4,96,39.44212,122.63613,336.6,0.4,0,88,8.17,0.111,0.81,3,7.53,48.61,10.98,18.92,156.6,CA,0.2,0.315,0,0.36365,36.1047
